,Unnamed: 0.1,Unnamed: 0,Star_name,Distance,Mass,Radius,Gravity
163,163,163,SDSS J083048.80+012831.1 [de],77.0,30548916.0936,1.9621978272e+29,8.410288623787877e+40
164,164,164,2MASSI J0835425-081923 [de],23.53,41174626.0392,2.04395607e+29,6.770715667951989e+40
165,165,165,2MASSI J0847287-153237 [de],43.0,42502839.782400005,2.04395607e+29,6.559130803328488e+40
166,166,166,2MASS J08533619-0329321,27.6,51136229.1132,2.1870329949e+29,6.24170294585416e+40
167,167,167,2MASSI J0859254-194926 [de],50.0,33205343.58,2.0030769486e+29,8.063218206101348e+40
168,168,168,2MASSI J0937347+293142,20.0,27892488.6072,1.9213187058e+29,8.83146358525113e+40
169,169,169,2MASS 0939−2448,17.4,21251419.8912,1.9417582665e+29,1.1839231100007917e+41
170,170,170,2MASS J09490860-1545485 [de],59.0,32541236.7084,1.9621978272e+29,7.895372993760045e+40
171,171,171,2MASS J10073369-4555147,46.0,29220702.3504,1.9213187058e+29,8.430033422285169e+40
172,172,172,2MASSI J1010148-040649 [de],55.0,33869450.4516,2.0030769486e+29,7.905115888334656e+40
173,173,173,2MASS J10224821+5825453 [de],60.0,17930885.5332,2.8819780587e+29,3.0910122548378952e+41
174,174,174,2MASSW J1036530-344138 [de],53.0,32541236.7084,1.9826373879e+29,8.06071663392885e+40
175,175,175,2MASS J1047538+212423 [de],34.4,27892488.6072,1.9213187058e+29,8.83146358525113e+40
176,176,176,DEN 1048-3956,13.15,51136229.1132,2.1870329949e+29,6.24170294585416e+40
177,177,177,Luhman 16B,6.516,28556595.4788,2.0848351914e+29,1.015682930274673e+41
178,178,178,Luhman 16A,6.516,26564274.864,2.0643956307e+29,1.070555093196062e+41
179,179,179,DENIS-P J1058.7−1548,49.0,42502839.782400005,2.04395607e+29,6.559130803328488e+40
180,180,180,TWA 28,180.0,23907847.3776,4.8850550073e+29,6.6606952998564735e+41
181,181,181,Cha 110913-773444,163.0,5312854.972800001,3.679120926e+29,1.7001267042227438e+42
182,182,182,SDSS J111010.01+011613.1,63.0,5976961.8444,2.5345055268e+29,7.17178277205183e+41
183,183,183,2MASS J11145133−2618235,18.2,21915526.7628,1.9621978272e+29,1.172343262709825e+41
184,184,184,TWA 26,137.0,19923206.148,4.496703354e+29,6.772521192130108e+41
185,185,185,2MASS J11544223-3400390 [de],129.0,24571954.2492,3.065934105e+29,2.552742799133249e+41
186,186,186,2MASSW J1155395-372735 [de],31.0,42502839.782400005,2.04395607e+29,6.559130803328488e+40
187,187,187,2MASS J12074836-3900043,217.0,11289816.8172,3.4951648797e+29,7.220538120287184e+41
188,188,188,2MASSI J1217110-031113 [de],36.0,27892488.6072,1.9213187058e+29,8.83146358525113e+40
189,189,189,2M 1237+6526,45.6,27228381.7356,1.9213187058e+29,9.04686513611091e+40
190,190,190,TWA 29,262.0,1328213.7432,5.109890175000001e+30,1.3118261606656977e+45
191,191,191,SDSSp J125453.90-012247.4 [de],38.0,31213022.9652,2.0030769486e+29,8.577891708618456e+40
192,192,192,Kelu-1A,61.0,41838732.9108,2.0030769486e+29,6.399379528651864e+40
193,193,193,Kelu-1B,61.0,38518198.5528,2.0030769486e+29,6.951050177673576e+40
194,194,194,2MASS J13204427+0409045,101.0,44495160.3972,2.0643956307e+29,6.391373690722761e+40
195,195,195,SDSSp J132629.82-003831.5 [de],65.0,33869450.4516,1.9826373879e+29,7.744610099264974e+40
196,196,196,SDSSp J134646.45-003150.4 [de],48.0,29220702.3504,1.9213187058e+29,8.430033422285169e+40
197,197,197,2MASS J13595510-4034582,51.0,41838732.9108,2.04395607e+29,6.663243990682908e+40
198,198,198,ULAS J141623.94+134836.3,29.7,21251419.8912,1.9621978272e+29,1.2089789896695069e+41
199,199,199,SDSS J141659.78+500626.4 [de],149.0,39182305.4244,2.0235165093e+29,6.973401057998374e+40
